main verb - infinito senza to;separabile- se segnato vuol dire si;prep_1;prep_2
accelerate;x;down;
accept;x;up;
accompany;x;down;
ache;x;over;
achieve;x;through;
act;x;out;
add;x;along;
add;x;in;
add;x;up;
address;x;in;
admit;x;out;
adopt;x;off;
advertise;x;up;
advise;x;in;
affect;x;out;
affect;x;over;
aid;x;away;
alert;x;up;
align;x;up;
allow;x;in;
allow;x;out;
allow;x;up;
alter;x;out;
amplify;x;up;
answer;x;off;
answer;x;on;
apply;x;over;
approach;x;up;
argue;x;out;
arm;x;up;
ask;x;down;
ask;x;out;
ask;x;over;
assemble;x;out;
assist;x;out;
assume;x;out;
attack;x;out;
attract;x;in;
attract;x;up;
auction;x;off;
average;x;out;
await;x;down;
back;x;off;
back;x;on;
back;x;out;
back;x;up;
bag;x;up;
bail;x;out;
balance;x;out;
bale;x;out;
ball;x;up;
ball;x;up;
bandage;x;up;
bank;x;up;
bare;x;out;
barricade;x;in;
base;x;off;
bash;x;down;
bash;x;out;
bash;x;up;
battle;x;out;
beam;x;down;
beam;x;up;
bear;x;along;
bear;x;away;
bear;x;out;
bear;x;up;
beare;x;out;
beat;x;down;
beat;x;off;
beat;x;out;
beat;x;up;
beckon;x;on;
beckon;x;out;
beckon;x;over;
beef;x;up;
beg;x;off;
behove;x;out;
belt;x;down;
belt;x;out;
bend;x;over;
bestow;x;out;
bigging;x;up;
bin;x;off;
bind;x;up;
blame;x;on;
blank;x;off;
blank;x;out;
blast;x;along;
blast;x;away;
blast;x;off;
blast;x;out;
blast;x;over;
bleed;x;off;
bleed;x;out;
blend;x;in;
bloat;x;out;
block;x;off;
block;x;out;
block;x;up;
blot;x;out;
blow;x;away;
blow;x;down;
blow;x;off;
blow;x;out;
blow;x;over;
blow;x;up;
bluff;x;out;
blurt;x;out;
board;x;up;
boil;x;down;
boil;x;off;
boil;x;up;
bolt;x;down;
bolt;x;over;
bomb;x;out;
boo-hoo;x;out;
book;x;in;
book;x;through;
boom;x;around;
boost;x;up;
boot;x;off;
boot;x;out;
bootstrapping;x;up;
booze;x;up;
boss;x;around;
bottle;x;up;
bounce;x;along;
bounce;x;down;
bounce;x;off;
bounce;x;out;
bounce;x;up;
bow;x;off;
bowl;x;out;
bowl;x;over;
box;x;up;
brace;x;up;
brag;x;out;
brake;x;off;
brave;x;out;
brave;x;through;
brazen;x;out;
break;x;apart;
break;x;down;
break;x;off;
break;x;open;
break;x;out;
break;x;up;
breathe;x;in;
breathe;x;out;
breed;x;out;
brighten;x;up;
bring;x;along;
bring;x;away;
bring;x;down;
bring;x;in;
bring;x;off;
bring;x;on;
bring;x;out;
bring;x;over;
bring;x;through;
bring;x;unto;
bring;x;up;
brush;x;aside;
brush;x;away;
brush;x;down;
brush;x;off;
brush;x;out;
brush;x;over;
brush;x;up;
buck;x;up;
buff;x;off;
bugger;x;up;
build;x;in;
build;x;out;
build;x;up;
bully;x;out;
bump;x;up;
bundle;x;up;
bung;x;off;
buoy;x;up;
burn;x;down;
burn;x;off;
burn;x;out;
burn;x;up;
bustle;x;off;
butter;x;up;
buy;x;in;
buy;x;off;
buy;x;out;
buy;x;over;
buy;x;up;
call;x;aside;
call;x;away;
call;x;down;
call;x;in;
call;x;off;
call;x;on;
call;x;out;
call;x;over;
call;x;unto;
call;x;up;
calm;x;down;
camp;x;out;
camp;x;up;
cancel;x;out;
cap;x;off;
carry;x;along;
carry;x;around;
